dir,mouse,rep,fitness,n_connections,density,ei_ratio,n_exc,n_inh,si_count,sm_count,ii_count,im_count,mi_count,mm_count,si_exc_frac,ii_exc_frac,im_exc_frac,inter_in_mean,inter_out_mean,w_mean_mag,frac_strong
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D7_r3,D7,3,0.9100092370800518,24,0.21428571428571427,0.6,3,5,8,4,7,1,3,1,1.0,0.42857142857142855,0.0,3.0,1.3333333333333333,0.65625,0.5416666666666666
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D7_r4,D7,4,0.900810280608826,23,0.20535714285714285,1.6666666666666667,5,3,11,4,4,2,2,0,1.0,0.5,0.5,2.8333333333333335,1.0,0.6739130434782609,0.5652173913043478
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D7_r5,D7,5,0.8609171149164413,24,0.21428571428571427,1.6666666666666667,5,3,6,4,10,2,2,0,1.0,0.4,0.5,3.0,2.0,0.65625,0.5416666666666666
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D7_r6,D7,6,0.8217404023524114,23,0.20535714285714285,0.6,3,5,6,4,9,2,2,0,1.0,0.2222222222222222,1.0,2.8333333333333335,1.8333333333333333,0.6086956521739131,0.4782608695652174
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D8_r1,D8,1,0.8111165503135146,24,0.21428571428571427,0.3333333333333333,2,6,8,4,6,2,4,0,1.0,0.0,0.0,3.0,1.3333333333333333,0.6875,0.5833333333333334
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D8_r2,D8,2,0.896710652867779,22,0.19642857142857142,1.0,4,4,5,4,7,1,4,1,1.0,0.42857142857142855,0.0,2.6666666666666665,1.3333333333333333,0.7272727272727273,0.6363636363636364
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D8_r3,D8,3,0.8850378320747501,23,0.20535714285714285,1.0,4,4,7,4,8,1,2,1,1.0,0.5,1.0,2.8333333333333335,1.5,0.5434782608695652,0.391304347826087
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D8_r4,D8,4,0.7706985450597852,22,0.19642857142857142,1.0,4,4,8,3,6,2,2,1,1.0,0.5,0.5,2.6666666666666665,1.3333333333333333,0.5909090909090909,0.45454545454545453
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D8_r5,D8,5,0.8732012253098523,24,0.21428571428571427,0.3333333333333333,2,6,9,3,8,1,1,2,1.0,0.0,0.0,3.0,1.5,0.6875,0.5833333333333334
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D8_r6,D8,6,0.605734800412226,24,0.21428571428571427,0.6,3,5,10,3,6,2,2,1,1.0,0.3333333333333333,0.5,3.0,1.3333333333333333,0.71875,0.625
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D9_r1,D9,1,0.8043664795972334,24,0.21428571428571427,0.6,3,5,8,3,6,3,4,0,1.0,0.16666666666666666,0.3333333333333333,3.0,1.5,0.625,0.5
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D9_r2,D9,2,0.7903831939357693,24,0.21428571428571427,0.6,3,5,8,4,7,1,3,1,1.0,0.2857142857142857,0.0,3.0,1.3333333333333333,0.625,0.5
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D9_r3,D9,3,0.7658734088338209,23,0.20535714285714285,0.6,3,5,7,4,8,1,2,1,1.0,0.25,0.0,2.8333333333333335,1.5,0.6739130434782609,0.5652173913043478
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D9_r4,D9,4,0.6813972911285285,23,0.20535714285714285,1.0,4,4,5,2,9,2,3,2,1.0,0.2222222222222222,0.5,2.8333333333333335,1.8333333333333333,0.6086956521739131,0.4782608695652174
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D9_r5,D9,5,0.8441528035481403,23,0.20535714285714285,1.6666666666666667,5,3,7,4,5,1,5,1,1.0,0.6,0.0,2.8333333333333335,1.0,0.7717391304347826,0.6956521739130435
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_D9_r6,D9,6,0.8097269783841143,23,0.20535714285714285,0.14285714285714285,1,7,10,2,6,4,1,0,1.0,0.0,0.0,2.8333333333333335,1.6666666666666667,0.7065217391304348,0.6086956521739131
